variant,N,cutoff,P,rep,seconds
parpseq,12,2,16,2,3.204099e-2
parpseq,12,2,16,3,3.048112e-2
super,12,2,20,1,0.125436306
super,12,2,20,2,0.195218088
super,12,2,20,3,0.147170427
ghc,12,2,20,1,2.9295824e-2
ghc,12,2,20,2,2.9825897e-2
ghc,12,2,20,3,2.9701449e-2
parpseq,12,2,20,1,3.2951856e-2
parpseq,12,2,20,2,3.5817517e-2
parpseq,12,2,20,3,3.2584622e-2
super,12,2,24,1,0.199684912
super,12,2,24,2,0.147618858
super,12,2,24,3,0.178992321
ghc,12,2,24,1,2.823305e-2
ghc,12,2,24,2,2.8174365e-2
ghc,12,2,24,3,3.1233171e-2
parpseq,12,2,24,1,3.0213939e-2
parpseq,12,2,24,2,3.0185948e-2
parpseq,12,2,24,3,2.936199e-2
super,13,1,1,1,0.789420132
super,13,1,1,2,0.773909385
super,13,1,1,3,0.815368970
ghc,13,1,1,1,0.794488072
ghc,13,1,1,2,0.767485811
ghc,13,1,1,3,0.793499648
parpseq,13,1,1,1,0.799594433
parpseq,13,1,1,2,0.793687887
parpseq,13,1,1,3,0.796881813
super,13,1,2,1,0.743480037
super,13,1,2,2,0.665383802
super,13,1,2,3,0.775999859
ghc,13,1,2,1,0.436066148
ghc,13,1,2,2,0.447907742
ghc,13,1,2,3,0.450725066
parpseq,13,1,2,1,0.444167993
parpseq,13,1,2,2,0.441031934
parpseq,13,1,2,3,0.436476432
super,13,2,4,1,0.432880619
super,13,2,4,2,0.392657726
super,13,2,4,3,0.404147210
ghc,13,2,4,1,0.22113962
ghc,13,2,4,2,0.238130343
ghc,13,2,4,3,0.244456772
parpseq,13,2,4,1,0.2220756
parpseq,13,2,4,2,0.228415661
parpseq,13,2,4,3,0.216425322
super,13,2,8,1,0.397833128
super,13,2,8,2,0.613080824
super,13,2,8,3,0.270663785
ghc,13,2,8,1,0.163393
ghc,13,2,8,2,0.150937143
ghc,13,2,8,3,0.177158189
parpseq,13,2,8,1,0.158673807
parpseq,13,2,8,2,0.15107352
parpseq,13,2,8,3,0.147939964
super,13,2,12,1,1.062664165
super,13,2,12,2,0.278145501
super,13,2,12,3,0.269942131
ghc,13,2,12,1,0.191658147
ghc,13,2,12,2,0.174828916
ghc,13,2,12,3,0.171237207
parpseq,13,2,12,1,0.167601286
parpseq,13,2,12,2,0.179483485
parpseq,13,2,12,3,0.194359813
super,13,2,16,1,0.946164977
super,13,2,16,2,0.901351378
super,13,2,16,3,0.266377031
ghc,13,2,16,1,0.151190423
ghc,13,2,16,2,0.164622756
ghc,13,2,16,3,0.162848859
parpseq,13,2,16,1,0.157678282
parpseq,13,2,16,2,0.156799811
parpseq,13,2,16,3,0.156248655
super,13,2,20,1,0.779752777
super,13,2,20,2,0.297602230
super,13,2,20,3,0.313601839
ghc,13,2,20,1,0.194189664
ghc,13,2,20,2,0.201502988
ghc,13,2,20,3,0.193831711
parpseq,13,2,20,1,0.173179474
parpseq,13,2,20,2,0.154134003
parpseq,13,2,20,3,0.166623522
super,13,2,24,1,1.861901537
super,13,2,24,2,0.311939586
super,13,2,24,3,0.390731246
ghc,13,2,24,1,0.20043449
ghc,13,2,24,2,0.196613875
ghc,13,2,24,3,0.170405248
parpseq,13,2,24,1,0.159093201
parpseq,13,2,24,2,0.191280288
parpseq,13,2,24,3,0.160974927
super,14,1,1,1,4.866754958
super,14,1,1,2,5.219394786
super,14,1,1,3,5.043225360
ghc,14,1,1,1,5.05580904
ghc,14,1,1,2,5.03104703
ghc,14,1,1,3,5.256694088
parpseq,14,1,1,1,5.093078306
parpseq,14,1,1,2,4.797302179
parpseq,14,1,1,3,4.98687796
super,14,1,2,1,4.175599818
super,14,1,2,2,4.283889298
super,14,1,2,3,4.339860936
ghc,14,1,2,1,2.622098424
ghc,14,1,2,2,2.651601864
ghc,14,1,2,3,2.662229138
parpseq,14,1,2,1,2.701989237
parpseq,14,1,2,2,2.709693862
parpseq,14,1,2,3,2.598611851
super,14,2,4,1,2.179861458
super,14,2,4,2,2.088528187
super,14,2,4,3,2.172474506
ghc,14,2,4,1,1.560197392
ghc,14,2,4,2,1.505016154
ghc,14,2,4,3,1.439090689
parpseq,14,2,4,1,1.401079478
parpseq,14,2,4,2,1.445937617
parpseq,14,2,4,3,1.456512768
super,14,2,8,1,1.365638587
super,14,2,8,2,1.262232878
super,14,2,8,3,1.219131804
ghc,14,2,8,1,0.985677108
ghc,14,2,8,2,1.002142595
ghc,14,2,8,3,0.990019414
parpseq,14,2,8,1,1.120452367
parpseq,14,2,8,2,1.063595725
parpseq,14,2,8,3,1.041240146
super,14,2,12,1,2.659549634
super,14,2,12,2,0.989539753
super,14,2,12,3,0.977504349
ghc,14,2,12,1,1.07489227
ghc,14,2,12,2,1.022343116
ghc,14,2,12,3,1.053583918
parpseq,14,2,12,1,1.044868102
parpseq,14,2,12,2,1.041198307
parpseq,14,2,12,3,1.054761146
super,14,2,16,1,1.054508811
super,14,2,16,2,1.002836648
super,14,2,16,3,1.168191906
ghc,14,2,16,1,1.143752294
ghc,14,2,16,2,1.061877334
ghc,14,2,16,3,1.102409962
parpseq,14,2,16,1,1.085685433
parpseq,14,2,16,2,1.089130673
parpseq,14,2,16,3,1.073724401
super,14,2,20,1,1.280497854
super,14,2,20,2,1.036324480
super,14,2,20,3,1.088288190
ghc,14,2,20,1,1.095940909
ghc,14,2,20,2,1.08303112
ghc,14,2,20,3,1.103224463
parpseq,14,2,20,1,1.069275443
parpseq,14,2,20,2,1.074776106
parpseq,14,2,20,3,1.108063138
super,14,2,24,1,1.085091358
super,14,2,24,2,1.080409292
super,14,2,24,3,1.049408495
ghc,14,2,24,1,1.08559235
ghc,14,2,24,2,1.106148579
ghc,14,2,24,3,1.103395898
parpseq,14,2,24,1,1.102718613
parpseq,14,2,24,2,1.085141746
parpseq,14,2,24,3,1.080459845
super,15,1,1,1,35.909201355
super,15,1,1,2,34.748211940
super,15,1,1,3,34.024819158
ghc,15,1,1,1,34.286141887
ghc,15,1,1,2,34.397550829
ghc,15,1,1,3,34.167297448
parpseq,15,1,1,1,34.318250777
parpseq,15,1,1,2,34.750468517
parpseq,15,1,1,3,34.385714676
super,15,1,2,1,29.998091309
super,15,1,2,2,30.118179860
super,15,1,2,3,29.249855628
ghc,15,1,2,1,18.893459909
ghc,15,1,2,2,18.925552246
ghc,15,1,2,3,18.924997427
parpseq,15,1,2,1,19.743809358
parpseq,15,1,2,2,19.359879926
parpseq,15,1,2,3,19.635765859
super,15,2,4,1,13.932203736
super,15,2,4,2,13.937683015
super,15,2,4,3,13.971364987
ghc,15,2,4,1,9.876805973
ghc,15,2,4,2,10.112934544
ghc,15,2,4,3,9.857895397
parpseq,15,2,4,1,10.340850437
parpseq,15,2,4,2,10.66063608
parpseq,15,2,4,3,10.670184409
super,15,2,8,1,7.812186502
super,15,2,8,2,8.167575607
super,15,2,8,3,8.005714758
ghc,15,2,8,1,6.651905742
ghc,15,2,8,2,6.576386381
ghc,15,2,8,3,6.911457119
parpseq,15,2,8,1,7.171794963
parpseq,15,2,8,2,7.235675348
parpseq,15,2,8,3,7.446258646
super,15,2,12,1,7.348480426
super,15,2,12,2,6.045408737
super,15,2,12,3,6.008417423
ghc,15,2,12,1,7.168468228
ghc,15,2,12,2,7.068637727
ghc,15,2,12,3,7.141793976
parpseq,15,2,12,1,7.114332603
parpseq,15,2,12,2,7.189888523
parpseq,15,2,12,3,6.844711592
super,15,2,16,1,6.487622263
super,15,2,16,2,6.469493586
super,15,2,16,3,7.036014381
ghc,15,2,16,1,7.299708959
ghc,15,2,16,2,7.075533145
ghc,15,2,16,3,7.039807668
parpseq,15,2,16,1,6.828448735
parpseq,15,2,16,2,7.322298521
parpseq,15,2,16,3,7.21265379
super,15,2,20,1,6.772503138
super,15,2,20,2,6.230269966
super,15,2,20,3,6.640936604
ghc,15,2,20,1,7.295533949
ghc,15,2,20,2,7.210927942
ghc,15,2,20,3,7.241390675
parpseq,15,2,20,1,7.254484085
parpseq,15,2,20,2,7.223317031
parpseq,15,2,20,3,7.327914379
super,15,2,24,1,6.403929523
super,15,2,24,2,6.263225193
super,15,2,24,3,6.243288145
ghc,15,2,24,1,7.344434903
ghc,15,2,24,2,7.256249672
ghc,15,2,24,3,7.325948918
parpseq,15,2,24,1,7.404906209
parpseq,15,2,24,2,7.444856503
parpseq,15,2,24,3,7.27831064
