variant,N,P,imb,delta,rep,seconds,rc
parpseq,100000,1,25,0,3,0.012436,0
parpseq,100000,1,30,0,1,0.012574,0
parpseq,100000,1,30,0,2,0.012730,0
parpseq,100000,1,30,0,3,0.012474,0
parpseq,100000,1,35,0,1,0.012429,0
parpseq,100000,1,35,0,2,0.012588,0
parpseq,100000,1,35,0,3,0.012477,0
parpseq,100000,1,40,0,1,0.012653,0
parpseq,100000,1,40,0,2,0.012780,0
parpseq,100000,1,40,0,3,0.012395,0
parpseq,100000,1,45,0,1,0.013070,0
parpseq,100000,1,45,0,2,0.012548,0
parpseq,100000,1,45,0,3,0.012515,0
parpseq,100000,1,50,0,1,0.012578,0
parpseq,100000,1,50,0,2,0.012502,0
parpseq,100000,1,50,0,3,0.012651,0
parpseq,100000,1,55,0,1,0.013010,0
parpseq,100000,1,55,0,2,0.012583,0
parpseq,100000,1,55,0,3,0.012380,0
parpseq,100000,1,60,0,1,0.012395,0
parpseq,100000,1,60,0,2,0.012349,0
parpseq,100000,1,60,0,3,0.012447,0
parpseq,100000,1,65,0,1,0.012741,0
parpseq,100000,1,65,0,2,0.012669,0
parpseq,100000,1,65,0,3,0.012501,0
parpseq,100000,1,70,0,1,0.013062,0
parpseq,100000,1,70,0,2,0.012518,0
parpseq,100000,1,70,0,3,0.012689,0
parpseq,100000,1,75,0,1,0.012756,0
parpseq,100000,1,75,0,2,0.012543,0
parpseq,100000,1,75,0,3,0.013078,0
parpseq,100000,1,80,0,1,0.012877,0
parpseq,100000,1,80,0,2,0.012523,0
parpseq,100000,1,80,0,3,0.013396,0
parpseq,100000,1,85,0,1,0.012300,0
parpseq,100000,1,85,0,2,0.012541,0
parpseq,100000,1,85,0,3,0.012422,0
parpseq,100000,1,90,0,1,0.012630,0
parpseq,100000,1,90,0,2,0.012780,0
parpseq,100000,1,90,0,3,0.012327,0
parpseq,100000,1,95,0,1,0.012589,0
parpseq,100000,1,95,0,2,0.012428,0
parpseq,100000,1,95,0,3,0.012291,0
parpseq,100000,1,100,0,1,0.012604,0
parpseq,100000,1,100,0,2,0.012401,0
parpseq,100000,1,100,0,3,0.012110,0
parpseq,100000,2,0,0,1,0.012720,0
parpseq,100000,2,0,0,2,0.012665,0
parpseq,100000,2,0,0,3,0.012620,0
parpseq,100000,2,5,0,1,0.012841,0
parpseq,100000,2,5,0,2,0.012425,0
parpseq,100000,2,5,0,3,0.012568,0
parpseq,100000,2,10,0,1,0.012670,0
parpseq,100000,2,10,0,2,0.012709,0
parpseq,100000,2,10,0,3,0.012721,0
parpseq,100000,2,15,0,1,0.013004,0
parpseq,100000,2,15,0,2,0.012536,0
parpseq,100000,2,15,0,3,0.012444,0
parpseq,100000,2,20,0,1,0.012757,0
parpseq,100000,2,20,0,2,0.012583,0
parpseq,100000,2,20,0,3,0.013069,0
parpseq,100000,2,25,0,1,0.012525,0
parpseq,100000,2,25,0,2,0.012748,0
parpseq,100000,2,25,0,3,0.012339,0
parpseq,100000,2,30,0,1,0.012701,0
parpseq,100000,2,30,0,2,0.012626,0
parpseq,100000,2,30,0,3,0.012653,0
parpseq,100000,2,35,0,1,0.012634,0
parpseq,100000,2,35,0,2,0.012629,0
parpseq,100000,2,35,0,3,0.012611,0
parpseq,100000,2,40,0,1,0.012785,0
parpseq,100000,2,40,0,2,0.012999,0
parpseq,100000,2,40,0,3,0.012451,0
parpseq,100000,2,45,0,1,0.012557,0
parpseq,100000,2,45,0,2,0.012506,0
parpseq,100000,2,45,0,3,0.013097,0
parpseq,100000,2,50,0,1,0.013191,0
parpseq,100000,2,50,0,2,0.012627,0
parpseq,100000,2,50,0,3,0.012456,0
parpseq,100000,2,55,0,1,0.012579,0
parpseq,100000,2,55,0,2,0.012567,0
parpseq,100000,2,55,0,3,0.012617,0
parpseq,100000,2,60,0,1,0.012717,0
parpseq,100000,2,60,0,2,0.012653,0
