variant,N,P,imb,delta,rep,seconds,rc
super,100000,8,10,0,2,0.007001316,0
super,100000,8,10,0,3,0.004269917,0
super,100000,8,15,0,1,0.004723034,0
super,100000,8,15,0,2,0.007163800,0
super,100000,8,15,0,3,0.013056163,0
super,100000,8,20,0,1,0.007597960,0
super,100000,8,20,0,2,0.004076020,0
super,100000,8,20,0,3,0.005980051,0
super,100000,8,25,0,1,0.004583828,0
super,100000,8,25,0,2,0.004290600,0
super,100000,8,25,0,3,0.008575018,0
super,100000,8,30,0,1,0.004462041,0
super,100000,8,30,0,2,0.005152757,0
super,100000,8,30,0,3,0.005168625,0
super,100000,8,35,0,1,0.005554866,0
super,100000,8,35,0,2,0.005158698,0
super,100000,8,35,0,3,0.006592210,0
super,100000,8,40,0,1,0.004705795,0
super,100000,8,40,0,2,0.004383938,0
super,100000,8,40,0,3,0.008790850,0
super,100000,8,45,0,1,0.005291591,0
super,100000,8,45,0,2,0.008482175,0
super,100000,8,45,0,3,0.007550677,0
super,100000,8,50,0,1,0.015074421,0
super,100000,8,50,0,2,0.009727903,0
super,100000,8,50,0,3,0.004452726,0
super,100000,8,55,0,1,0.006570834,0
super,100000,8,55,0,2,0.009624582,0
super,100000,8,55,0,3,0.007624013,0
super,100000,8,60,0,1,0.005991807,0
super,100000,8,60,0,2,0.005865990,0
super,100000,8,60,0,3,0.006695969,0
super,100000,8,65,0,1,0.004785171,0
super,100000,8,65,0,2,0.004460823,0
super,100000,8,65,0,3,0.009352103,0
super,100000,8,70,0,1,0.006237581,0
super,100000,8,70,0,2,0.005085946,0
super,100000,8,70,0,3,0.004310167,0
super,100000,8,75,0,1,0.010605595,0
super,100000,8,75,0,2,0.011789397,0
super,100000,8,75,0,3,0.013327677,0
super,100000,8,80,0,1,0.004602191,0
super,100000,8,80,0,2,0.009303183,0
super,100000,8,80,0,3,0.007962375,0
super,100000,8,85,0,1,0.010647341,0
super,100000,8,85,0,2,0.004337002,0
super,100000,8,85,0,3,0.011041185,0
super,100000,8,90,0,1,0.005709395,0
super,100000,8,90,0,2,0.006050282,0
super,100000,8,90,0,3,0.004671360,0
super,100000,8,95,0,1,0.004793284,0
super,100000,8,95,0,2,0.004430662,0
super,100000,8,95,0,3,0.004712154,0
super,100000,8,100,0,1,0.004708462,0
super,100000,8,100,0,2,0.004376975,0
super,100000,8,100,0,3,0.004900292,0
super,150000,1,0,0,1,0.000564911,0
super,150000,1,0,0,2,0.000687422,0
super,150000,1,0,0,3,0.000467763,0
super,150000,1,5,0,1,0.000548884,0
super,150000,1,5,0,2,0.000540989,0
super,150000,1,5,0,3,0.000959501,0
super,150000,1,10,0,1,0.000457694,0
super,150000,1,10,0,2,0.000492571,0
super,150000,1,10,0,3,0.000556934,0
super,150000,1,15,0,1,0.000424537,0
super,150000,1,15,0,2,0.000448087,0
super,150000,1,15,0,3,0.000478274,0
super,150000,1,20,0,1,0.000417614,0
super,150000,1,20,0,2,0.000425653,0
super,150000,1,20,0,3,0.000435932,0
super,150000,1,25,0,1,0.000975301,0
super,150000,1,25,0,2,0.000556759,0
super,150000,1,25,0,3,0.000546461,0
super,150000,1,30,0,1,0.000488384,0
super,150000,1,30,0,2,0.000485055,0
super,150000,1,30,0,3,0.000427917,0
super,150000,1,35,0,1,0.000429853,0
super,150000,1,35,0,2,0.000416633,0
super,150000,1,35,0,3,0.000612373,0
super,150000,1,40,0,1,0.000544669,0
super,150000,1,40,0,2,0.000607106,0
super,150000,1,40,0,3,0.000674929,0
super,150000,1,45,0,1,0.000505344,0
super,150000,1,45,0,2,0.000505016,0
super,150000,1,45,0,3,0.000532235,0
super,150000,1,50,0,1,0.000478872,0
super,150000,1,50,0,2,0.001247505,0
super,150000,1,50,0,3,0.001882276,0
super,150000,1,55,0,1,0.000577449,0
super,150000,1,55,0,2,0.000627444,0
super,150000,1,55,0,3,0.000457242,0
super,150000,1,60,0,1,0.000660793,0
super,150000,1,60,0,2,0.000444389,0
super,150000,1,60,0,3,0.000455413,0
super,150000,1,65,0,1,0.000502453,0
super,150000,1,65,0,2,0.001209522,0
super,150000,1,65,0,3,0.000488964,0
super,150000,1,70,0,1,0.000570615,0
super,150000,1,70,0,2,0.000474450,0
super,150000,1,70,0,3,0.000395579,0
super,150000,1,75,0,1,0.000396477,0
super,150000,1,75,0,2,0.000425366,0
super,150000,1,75,0,3,0.000501635,0
super,150000,1,80,0,1,0.000562040,0
super,150000,1,80,0,2,0.000389747,0
super,150000,1,80,0,3,0.000433192,0
super,150000,1,85,0,1,0.000673424,0
super,150000,1,85,0,2,0.000599773,0
super,150000,1,85,0,3,0.000601147,0
super,150000,1,90,0,1,0.000448562,0
super,150000,1,90,0,2,0.000403342,0
super,150000,1,90,0,3,0.000451281,0
super,150000,1,95,0,1,0.000489432,0
super,150000,1,95,0,2,0.000538107,0
super,150000,1,95,0,3,0.000462012,0
super,150000,1,100,0,1,0.000430770,0
super,150000,1,100,0,2,0.000606713,0
super,150000,1,100,0,3,0.000628312,0
super,150000,2,0,0,1,0.001629882,0
super,150000,2,0,0,2,0.001588071,0
super,150000,2,0,0,3,0.001851196,0
super,150000,2,5,0,1,0.001822669,0
super,150000,2,5,0,2,0.001667783,0
super,150000,2,5,0,3,0.001646440,0
