N,P,rep,seconds,rc
176,6,5,1.446472,0
176,6,6,1.413313,0
176,6,7,1.436451,0
176,6,8,1.409069,0
176,6,9,1.421143,0
176,6,10,1.469384,0
176,8,1,1.462254,0
176,8,2,1.443731,0
176,8,3,1.486208,0
176,8,4,1.428316,0
176,8,5,1.469804,0
176,8,6,1.362135,0
176,8,7,1.488533,0
176,8,8,1.428229,0
176,8,9,1.436350,0
176,8,10,1.404938,0
184,2,1,1.646177,0
184,2,2,1.628742,0
184,2,3,1.615475,0
184,2,4,1.549115,0
184,2,5,1.596665,0
184,2,6,1.562560,0
184,2,7,1.640367,0
184,2,8,1.619482,0
184,2,9,1.579383,0
184,2,10,1.616916,0
184,4,1,1.567775,0
184,4,2,1.541723,0
184,4,3,1.578586,0
184,4,4,1.598884,0
184,4,5,1.557402,0
184,4,6,1.581007,0
184,4,7,1.542339,0
184,4,8,1.540297,0
184,4,9,1.607532,0
184,4,10,1.495527,0
184,6,1,1.604155,0
184,6,2,1.574221,0
184,6,3,1.540463,0
184,6,4,1.546731,0
184,6,5,1.526632,0
184,6,6,1.593932,0
184,6,7,1.612919,0
184,6,8,1.596827,0
184,6,9,1.526190,0
184,6,10,1.577778,0
184,8,1,1.514474,0
184,8,2,1.590688,0
184,8,3,1.644834,0
184,8,4,1.594829,0
184,8,5,1.641171,0
184,8,6,1.596603,0
184,8,7,1.611006,0
184,8,8,1.578250,0
184,8,9,1.575508,0
184,8,10,1.576800,0
192,2,1,1.980971,0
192,2,2,1.878337,0
192,2,3,1.828311,0
192,2,4,1.771148,0
192,2,5,1.749945,0
192,2,6,1.759505,0
192,2,7,1.664910,0
192,2,8,1.769004,0
192,2,9,1.732400,0
192,2,10,1.689347,0
192,4,1,1.652804,0
192,4,2,1.715351,0
192,4,3,1.687160,0
192,4,4,1.686089,0
192,4,5,1.645586,0
192,4,6,1.697925,0
192,4,7,1.707994,0
192,4,8,1.748038,0
192,4,9,1.705019,0
192,4,10,1.657010,0
192,6,1,1.653550,0
192,6,2,1.665636,0
192,6,3,1.698349,0
192,6,4,1.694787,0
192,6,5,1.642955,0
192,6,6,1.685493,0
192,6,7,1.705395,0
192,6,8,1.763945,0
192,6,9,1.778060,0
192,6,10,1.728228,0
192,8,1,1.673886,0
192,8,2,1.726297,0
192,8,3,1.690483,0
192,8,4,1.787440,0
192,8,5,1.707617,0
192,8,6,1.693926,0
192,8,7,1.686584,0
192,8,8,1.643399,0
192,8,9,1.589129,0
192,8,10,1.643783,0
200,2,1,1.861647,0
200,2,2,2.038068,0
200,2,3,1.926241,0
200,2,4,1.839125,0
200,2,5,1.932536,0
200,2,6,1.902735,0
200,2,7,1.895027,0
200,2,8,1.853468,0
200,2,9,1.875053,0
200,2,10,1.844602,0
200,4,1,2.050471,0
200,4,2,4.538538,0
200,4,3,2.526981,0
200,4,4,2.701209,0
200,4,5,2.027827,0
200,4,6,1.970305,0
200,4,7,1.955412,0
200,4,8,1.922034,0
200,4,9,1.898000,0
200,4,10,1.861958,0
200,6,1,2.034812,0
200,6,2,1.836350,0
200,6,3,1.848037,0
200,6,4,1.802161,0
200,6,5,1.814922,0
200,6,6,1.868387,0
200,6,7,1.846680,0
200,6,8,1.784149,0
200,6,9,1.858674,0
200,6,10,1.846911,0
200,8,1,1.770344,0
200,8,2,1.836271,0
200,8,3,1.811971,0
200,8,4,1.821873,0
200,8,5,1.783662,0
200,8,6,1.867933,0
200,8,7,1.833912,0
200,8,8,1.861043,0
200,8,9,1.759652,0
200,8,10,1.815874,0
