variant,N,cutoff,P,rep,seconds,checksum,expected
ribault_c,3000000,512,13,1,0.115189848,3299331579,3299331579
ribault_c,3000000,512,13,2,0.119355996,3299331579,3299331579
ribault_c,3000000,512,13,3,0.110562939,3299331579,3299331579
ribault_c,3000000,512,13,4,0.106507531,3299331579,3299331579
ribault_c,3000000,512,13,5,0.110126474,3299331579,3299331579
ribault_c,3000000,512,13,6,0.108780273,3299331579,3299331579
ribault_c,3000000,512,13,7,0.106036020,3299331579,3299331579
ribault_rust,3000000,512,13,1,0.101829099,3299331579,3299331579
ribault_rust,3000000,512,13,2,0.099671408,3299331579,3299331579
ribault_rust,3000000,512,13,3,0.093963000,3299331579,3299331579
ribault_rust,3000000,512,13,4,0.114429120,3299331579,3299331579
ribault_rust,3000000,512,13,5,0.101971471,3299331579,3299331579
ribault_rust,3000000,512,13,6,0.096862880,3299331579,3299331579
ribault_rust,3000000,512,13,7,0.099485339,3299331579,3299331579
ribault_hs,3000000,512,13,1,0.128186492,3299331579,3299331579
ribault_hs,3000000,512,13,2,0.129110431,3299331579,3299331579
ribault_hs,3000000,512,13,3,0.127562549,3299331579,3299331579
ribault_hs,3000000,512,13,4,0.129805806,3299331579,3299331579
ribault_hs,3000000,512,13,5,0.129726821,3299331579,3299331579
ribault_hs,3000000,512,13,6,0.123645589,3299331579,3299331579
ribault_hs,3000000,512,13,7,0.116008991,3299331579,3299331579
strategies,3000000,512,13,1,0.269924114,3299331579,3299331579
strategies,3000000,512,13,2,0.26419502,3299331579,3299331579
strategies,3000000,512,13,3,0.245719801,3299331579,3299331579
strategies,3000000,512,13,4,0.185463262,3299331579,3299331579
strategies,3000000,512,13,5,0.223925602,3299331579,3299331579
strategies,3000000,512,13,6,0.194908265,3299331579,3299331579
strategies,3000000,512,13,7,0.249265815,3299331579,3299331579
parpseq,3000000,512,13,1,0.36110268,3299331579,3299331579
parpseq,3000000,512,13,2,0.612768095,3299331579,3299331579
parpseq,3000000,512,13,3,0.611508895,3299331579,3299331579
parpseq,3000000,512,13,4,0.619359017,3299331579,3299331579
parpseq,3000000,512,13,5,0.370298036,3299331579,3299331579
parpseq,3000000,512,13,6,0.368271384,3299331579,3299331579
parpseq,3000000,512,13,7,0.611184332,3299331579,3299331579
sucuri,3000000,512,13,1,0.26222559064626694,3299331579,3299331579
sucuri,3000000,512,13,2,0.24664265289902687,3299331579,3299331579
sucuri,3000000,512,13,3,0.2547082118690014,3299331579,3299331579
sucuri,3000000,512,13,4,0.24980897828936577,3299331579,3299331579
sucuri,3000000,512,13,5,0.2510903887450695,3299331579,3299331579
sucuri,3000000,512,13,6,0.25482168793678284,3299331579,3299331579
sucuri,3000000,512,13,7,0.2622871771454811,3299331579,3299331579
ribault_c,3000000,512,16,1,0.118108341,3299331579,3299331579
ribault_c,3000000,512,16,2,0.106974885,3299331579,3299331579
ribault_c,3000000,512,16,3,0.106153447,3299331579,3299331579
